BOLO AIPIM KG,,,,,kg,,Sacolao DP Sao Jose LTDA,,,,,,,,
BOLO CHOC. KG,,,,,kg,,Sacolao DP Sao Jose LTDA,,,,,,,,
PANETONE GOTAS CHOC,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
FARINHA DE MILHO 1KG PANDOLFO,,,,,un,,COMERCIO DE ALIMENTOS ROHENKOHL LTDA,,,,,,,,
P SEV BOYS SEMI INTE,,,,,un,,SUPERMERCADO BELTRAME LTDA,,,,,,,,
NUTRELINHAS 300G,,,,,un,,SUPERMERCADO BELTRAME LTDA,,,,,-> NOME NAO INDICA O QUE É,,,
PAO HAMBURGUER GERGI,,,,,un,,COMERCIO DE ALIMENTOS ROHENKOHL LTDA,,,,,,,,
PAO MANTEIGA SEVEN B,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
PAO CASEIRO NICOLE 250G,,,,,un,,Sgorla Com. Ind. Alimentos Ltd,,,,,,,,
PAO PULLMAN INTEG,,,,,un,,Supermercado JGZ LTDA,,,,,,,,
PAO INTEGRAL SAN,,,,,un,,Supermercado JGZ LTD,,,,,,,,
PAO FRANCES MULTI,,,,,kg,,Supermercado JGZ LTDA,,,,,,,,
PAO DE MILHO MULT,,,,,kg,,Supermercado JGZ LTDA,,,,,,,,
PAO MILHO SEVEN BOYS,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
PAO MILHO EMERY 5,,,,,un,,TIMY INDUSTRIA E COMERCIO DE ALIMENTOS EIRELI,,,,,,,,
PAO DE ALHO SANTA MASSA LEV PICANTE 400,,,,,un,,SUPERMERCADO FORLIN EIRELI,,,,,,,,
PAO DE ALHO SANTA MASSA TRADICIONAL400 G,,,,,un,,SUPERMERCADO FORLIN EIRELI,,,,,,,,
PAO Q MARI LAN 300G,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
PAO INTEGRAL,,,,,kg,,COMERCIO DE ALIMENTOS ROHENKOHL LTDA,,,,,,,,
PAO INTEGRAL E SOVADO,,,,,kg,,SUPER KOSCHECK,,,,,,,,
PAO MULTIGRAOS,,,,,kg,,COMERCIO DE ALIMENTOS ROHENKOHL LTDA,,,,,,,,
PAO SAND AMALFI INT S/LAC 450G,,,,,un,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
PAO MINI CASEIRIN,,,,,kg,,Sacolao DP Sao Jose LTDA,,,,,,,,
PAO DINDA FIBRAS KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
PAO DINDA FRANCES KG,,,,,kg,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
PAO FAT GRAOS S/GL JASMINE 350G,,,,,un,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
PAO GIRAS/CAST WICKBOLD INT 400G,,,,,un,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
PAO FREEK/NOZ WICKBOLD INT 400G,,,,,un,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
PAO LEV SEMI INTEG S,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
PAO HOT DOG 300G,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
PAO HOT DOG FAMILIAR,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
PAO ITALIANO 500G,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
PAO FORMA SEVEN BOYS,,,,,un,,CARREFOUR COMERCIO E INDUSTRIA LTDA,,,,,,,,
PAO 7GRAOS S.BOYS BEN LIGHT400G,,,,,un,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
PAO 7GRAOS S.BOYS BENEF 400G,,,,,un,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
PAO 7GR S.BOYS BENEF 400G,,,,,un,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
PAO 7GR S.BOYS BENEF LIGHT 400G,,,,,un,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
PAO TRIGO INTEG 350g,,,,,un,,UNIDASUL DISTRIBUIDORA ALIMENTICIA S/A,,,,,,,,
PAO AUSTRALIANO K,,,,,kg,,Supermercados SBS LTDA.,,,,,,,,
PAO PRETO AMALFI FITPAN 350G,,,,,un,,COMPANHIA ZAFFARI COMERCIO E INDUSTRIA,,,,,,,,
